Product,Consumer complaint narrative
Credit card or prepaid card,"I received a refund voucher from merchant. Credit card co. has not credited my account.

Attached is letter to credit card co. and copy of refund from merchant. Charge still shows on my account."
Credit card or prepaid card,Will not remove late payments in goodwill.
"Credit reporting, credit repair services, or other personal consumer reports","Upon checking my credit report I found some discrepancies in items that are not mine, I believe I've been a victim of identity theft, so I'd like to report this to ask for help in restoring my credit."
Vehicle loan or lease,The company XXXX XXXX was sent a payment and it only applied as interest when the account is currently paid as expected Meaning that the total amount of the loan owed has not changed at all after a payment was made
Debt collection,"Collection Bureau of America is reporting an incorrect amount. I have contacted them numerous times to pay the debt that is owed ; however, they want to charge additional fees and refuse to work with me to resolve the matter and remove the negative remarks from my credit profile."
Credit card or prepaid card,Someone has opened a visa in my name ending in XXXX I dont know the bank or card number. This individual used it at Best Buy for over {$900.00} and used another card that Ive already reported.
Vehicle loan or lease,"There was high interest and fees on the loan, and no gap insurance refund after the loan was paid off early. This was from a Wells Fargo auto loan. The car was purchased in XX/XX/scrub>XXXX XXXX"
Checking or savings account,On XX/XX/year> my account was charged XXXX  times for XXXX each from XXXX XXXX which was not authorized and i dont even have an account with coinbase.
Credit reporting or other personal consumer reports,"Upon checking my credit report, I have discovered fraudulent account that is actively being reported on my credit repport, the fraudulent account is XXXX  XXXX with the account number XXXX. Please remove it from my credit report."
Checking or savings account,"I had a CD with Citi Bank, when the CD ended the money was not returned. I have spoken with Citi, both online and in person, and they were unhelpful. They claimed to only have 1 account for me on file, an unrelated credit card account."
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
"Credit reporting, credit repair services, or other personal consumer reports",I was a victim of identity theft. These two inquiries are not mine. They are National credit card cos on XX/XX/XXXX and XXXX on XX/XX/XXXX.
Credit card or prepaid card,I tried to open a credit card account but was denied. They stated I had a card in XXXX  that I never had. I have been trying to remove the fraudulent information but keep getting the run around. No one can help me there.
Debt collection,I have sent full amounts to Chapman Financial Services couple months ago for past due collection and they refuse to apply it to the debt amount balance.
Credit reporting or other personal consumer reports,"Upon checking my credit report, I have found two fraudulent accounts that were opened, these accounts are XXXX with the account number XXXX opened on XX/XX/year> and XXXX XXXX with the account number XXXX opened on XX/XX/year>, please remove them from my credit report, as they are fraudulent."
Checking or savings account,"I called today XX/XX/2019 to the chase bank, due to finding out of a account being opened under my name with no knowledge of it. And they did nothing to help me on going as a victim of fraud. I'm so upset and furious customer service is no help"
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX XXXX BALANCE NO KNOWLEDGE OF THIS ACCOUNT CAUSING MENTAL ANGUISH DESTROYED MY CREDIT SCORE AND CALLING ME HARRASING ME ABOUT PAYING WITHOUT PROVIDING PROOF SIGNATURES OF ME SIGNING ANY AGREEMENTS
"Credit reporting, credit repair services, or other personal consumer reports","XX/XX/2022 Someone applied for a credit card using my name and SSN. 
A credit report was pulled and I was informed by my ID Theft - XXXX"
"Money transfer, virtual currency, or money service","I got a text message in my XXXX saying that "" VenmoAlert : You recently attached your checking account to Venmo for a transaction of {$720.00}. Contact Customer Care XXXX if not initiated by you. I called the number and they got access to my banking account."
Checking or savings account,"I'm attempting to link debit cards from PNC Bank to XXXX  and PNC is not allowing it. My cards were linked but PNC did a security update and the accounts were removed from XXXX. I've contacted PNC and XXXX, both could not resolve the issue."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Checking or savings account,My identity was stolen and theyre was checking accounts opened in my name at JP MORGAN CHASE BANK XXXX XXXX XXXX XXXX XXXX XXXX XXXX and now Im unable to open a real legit bank account for myself.
Checking or savings account,would like to be reimbursed for the reported Transactions
"Money transfer, virtual currency, or money service",I recently received access back into my PayPal account after providing proof of identity and income now after a withdrawal I have received another limited account status please help me withdraw all of my funds. I do not want to do business with PayPal anymore this is ridiculous
Checking or savings account,I have been trying to get an account with XXXX XXXX for over XXXX  years and they continue to deny me without giving me a proper reason. I am asking for an investigation as to why?
Credit reporting or other personal consumer reports,Noticed that although this account was included in XXXX XXXX XXXX It is still reporting as a charge off and I am receiving updates although I filed for XXXX XXXX XXXX XXXXXX/XX/XXXX. XXXX XXXX in XXXX of XXXX but yet XXXX is still reporting on my XXXX
"Credit reporting, credit repair services, or other personal consumer reports","This account is not mines. 

1. XXXX XXXX XXXX Last reported XX/XX/2020 {$1500.00} Reported balance This account below is reported wrong and is current. 

1. XXXX XXXX Last reported XX/XX/2020 {$120.00} Reported balance"
Credit reporting or other personal consumer reports,15 USC 1666b a creditor may not treat a payment on a credit card account under an open-end A consumer credit plan as late for any purpose FDCPA 807 False misleading information FDCPA 8012 furnishing deceptive forms must remove late payments under CARES XXXX XXXX
Credit card or prepaid card,"Contacted Wells Fargo via email, regular mail, and telephonically. Have failed to protect my personal information and have subject me to identity theft and preemptively filed a lawsuit seeking to declare the amount charged owed."
Credit card or prepaid card,A credit card was opened under my name. I did not authorized the credit card from DISCOVER BANK neither any consent.
"Credit reporting, credit repair services, or other personal consumer reports",Someone fraudulently requested a credit limit increase on my US Bank credit card on XX/XX/2022 and I got a hard inquiry. I did not authorize it.
Credit card,"I initiated the following disputes that have not been processed within the required 90-day period. It also appears that Alliant has been collecting payment for items in dispute, against FTC rules. 

XX/XX/XXXX  {$230.00} XX/XX/XXXX  {$140.00} XX/XX/XXXX  {$4.00} XX/XX/XXXX  {$30.00}"
"Credit reporting, credit repair services, or other personal consumer reports",15 u.s.c 1681 congressional finding and statement of purpose .please removed hard inquiry off my credit report
"Credit reporting, credit repair services, or other personal consumer reports",I am interested in disputing all inaccurate information on my credit report with experian. checking data this is hindering my file from approvals an moving forward with accuracy on my report. please remove the information processed asap.
Credit card,"Continuity of hard inquiries were applied to my account after contacting the direct resources to opt out promotions, guarantees, and helpful sources that weren't applicable to my status and falsely promising to remove the hard inquiries that were applied from credit reports ; in which were NOT."
Credit card or prepaid card,Applied for capital one credit card and got accepted. XXXX XXXX saids i did not get accepted and lowered my score when that is not correct. XXXX XXXX saids to contact this site. It gave me a inquiry.
Credit card or prepaid card,I ask that they have this investigate and have this account reported accurately and REMOVE the late marks as it is severely affecting my credit scores.
Credit reporting or other personal consumer reports,CITICARDS CBNA Credit usage 99 % Balance {$2900.00} Balance updated XX/XX/2024 Credit limit {$3000.00} The correct balance is {$1700.00} as we are refinancing and ask Citi to report the correct info.
Credit card,I reached out to the company while experiencing struggles following leaving a XXXX  XXXX incident. They refused to negotiate the late fees to an affordable amount. I tried to work out a payment arrangement to make a one time payment and settle the debt and they refused
Credit card,"I strongly request the immediate removal of this late payment from my account, as it does not accurately depict my payment history. I have consistently made timely payments, and it is unacceptable to have this erroneous entry listed. Kindly update my account promptly."
Student loan,"Deceitful reps, inaccurate information, jacked up fees and undisclosed rates have significantly increased my loan balance. The availability and transparency of other payment options, military benefits, and other programs designed to help me pay back my loans were not readily available and convoluted and inaccurate when speaking with reps."
Debt collection,Credit card opened from family idenity theft
Credit reporting or other personal consumer reports,I want to settle 50 % of my balance.
Credit card or prepaid card,"I want this late payment remove from my account, and I never been late with this account I working so hard to pay this monthly and this is not acceptable. 
See the documents attached."
Checking or savings account,I filled a report on Bank of America and got a call from XXXX a few days ago and on today ( XX/XX/2024 I received a call from XXXX XXXX asking me for my non public private information which is against the law.
"Money transfer, virtual currency, or money service","I was rejected at the bank, because of others personal opinions."
"Credit reporting, credit repair services, or other personal consumer reports",The account balance is incorrect and the payment history is incorrect.
Credit reporting or other personal consumer reports,"I am a victim of XXXX. The information listed below, which appears on my credit report, is the result of that XXXX. 

Account Name : XXXX XXXX XXXXDate Opened XXXX BALANCE {$0.00} Unauthorized inquiries XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX"
Checking or savings account,Capitalone has not deposit my check XX/XX/year>. In the amount of XXXX.
Credit card,This debt is from 2007 and it has been 10 years since this debt was acquired. I believe this exceeds the statute of limitations in the state of California.
Credit card or prepaid card,This creditor acceded my credit report and issued a credit card without my authorization and by not ensuring proper identity checks to prevent fraudulent opening of this account.
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under 1666b. 

XXXX account # XXXX days late on XXXXXXXX XXXX"
Consumer Loan,"Auto loan closed and payoff ans dhow open with XXXX and XXXX, balance is XXXX and need to be removed immediately from my reports."
Checking or savings account,They will not allow me to link accounts to XXXX  accounting software which mainstreams my book keeping.
Credit card or prepaid card,I request that you eliminate the erroneous late payment from my account.
Debt collection,"Fraudulent collections account. 

i viewed an open apartment years ago they then called me about an existing balance I asked them how they couldnt give a direct answer. 

i have never done paperwork business with this company i only viewed an apartment here."
Credit card or prepaid card,"I have no knowledge of this account, and have never had a card with this amount of credit"
Credit card or prepaid card,I see multiple 30-90 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
"Money transfer, virtual currency, or money service",I'm trying to link my pnc bank account to the app XXXX and its not letting me.
"Money transfer, virtual currency, or money service","Commencing on or about XXXX XXXX 2023, I fell victim to XXXX multi-layered scam operations run by XXXX which involved me making deposits for a total amount of XXXX USD from my Wells Fargo account to fraudulent investment firm ( s )."
"Money transfer, virtual currency, or money service",I purchased XXXX concert tickets and was scammed out of my money and tickets. I purchased XXXX tickets for {$1600.00}
Credit reporting or other personal consumer reports,"I submitted ftc report to XXXX, XXXX, Transunion as well as a written formal dispute and request to remove two fraudulent/unauthorized XXXX XXXX credit card accounts. I demand that these accounts be removed from my credit report. I have submitted identity theft report and supporting information."
"Money transfer, virtual currency, or money service","PNC is not letting me access my funds through XXXX. I get notified via email every time an attempt to link the account is made, but it does not get linked in any way. Kindly look into the matter."
Credit card,"I have consistently made timely payments on this account, never allowing them to be overdue. I am confused about why there are reports of late payment remarks on my accounts. According to 15 USC 1666b, billing errors should be corrected."
Credit reporting or other personal consumer reports,My credit report is showing that I owe XXXX to Navient and that I'm delinquent 120 days when It should display a XXXX balance with nothing past due..
Checking or savings account,My PayPal account is banned and I don't know the reason and I have not done any crime
"Money transfer, virtual currency, or money service","BinanceUS has blocked users out of their accounts pending agreement with updated terms of use that include a face scan to be shared with the companies affiliates. 

Users were not made aware prior nor given a chance to withdraw funds."
Credit reporting or other personal consumer reports,"There were XXXX requests for opening a credit card in my report that I don't recognize, I contacted this company to remove these requests, but they didn't help me XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XX/XX/year> XXXX XXXX XXXXXXXX XX/XX/year>"
"Money transfer, virtual currency, or money service","I've had several transactions made to my account with no explanation. I've ordered new cards on different occasions and the matter is still the same, just random withdrawals and purchases."
"Money transfer, virtual currency, or money service",Google Pay will NOT let me send mo way to anyone and Ive sent documents proving who I am several times and they still wont let me send AND they refuse to give me a reason as to why not!
Credit card or prepaid card,"I ordered a replacement card from Amex, which they fedexed to me. The XXXX got lost. Now amex refuses to replace the card they lost. NOTE : this is in relation to my business gold rewards card NOT my XXXX XXXX  ( whose number I provided )"
Checking or savings account,I don't even know at this poimt why i have several hundreds of dollars of fees from chase bank that are absurdly high. The initial overdrafted balance is no where close to the constant hundreds of dollars of fees being charged to me
Checking or savings account,"Bank purposely posted largest amount first, then smaller to get  3 nsf fees instead of one. E ven though the smaller items were posted first."
"Credit reporting, credit repair services, or other personal consumer reports",Company sold my loan to another collection agency without knowledge of transfer of debt nor a contract with me the consumer.
"Credit reporting, credit repair services, or other personal consumer reports",I would like the credit bureau to update my report to reflect the correct balance due on my XXXX account. The balance due is XXXX
Checking or savings account,XX/XX/2016 an authorized check was put through my account and then my ability to make deposits was revoked. I shut down account
Credit card,I asked them to lower the rate and lower what I owed on the card but they said it cant change and Im falling behind
Credit card or prepaid card,"Macys gift card for XXXX. They said I could apply to get the card re-issued. I did and they denied the reissue of the card, meaning I cant use it. They sent me the denial today XX/XX/2022."
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Credit card or prepaid card,"Because of Covid-19 this seems to be a prevailing problem, you look up and your credit card is closed for no credible reason, effecting your credit score. The reasons given are laughable."
Checking or savings account,"The fraud transaction was posted on XXXX for a total of {$5000.00}. 

I have contacted PNC bank to resolve this issue but the bank refused to refund my money. 

These transactions were fraudulent unknown transactions that I did not make."
Credit card,Update to current or paid as agreed upon and delete the late payment remarks.
Debt collection,Last reported XX/XX/XXXX Opened XX/XX/XXXX ( XXXX mos ) XXXXXXXX XXXX Has an Open Balance- {$450.00} Iam the origanal creditor I was wrongly misrepresented as the natural being of this Matter this matter is also outdated from occurred.
"Payday loan, title loan, or personal loan","Lendmark refuses to apply S.C.R.A. Interest rate reduction to this loan for the period of time I was mobiled to XXXX XXXX XXXX-XXXX. 
Local manager claims ignorance on what Headquarters does."
Checking or savings account,Tried to link my account with a lender and they rejected my right to link my account so I could receive funds.
"Payday loan, title loan, or personal loan",No answer couldn't reach customer service. Loan was paid in full for 3-4 days then no log-in access for 3weeks then loan payment was returned ny balance was short {$60.00} plus the returned {$500.00} payment was missing. There is also {$180.00} in savings
Credit card or prepaid card,"APPLE CARDXXXXGS BANK USA reported a New Bank/Credit Card to your XXXX  Credit File. 


i never got a card and they are now reporting to the bureas"
Debt collection,Account Name : WELLS FARGO Account Number : XXXX Date Opened : XX/XX/2015 Balance : {$110.00} Reason : Identity theft Please remove it from my credit report.
Credit reporting or other personal consumer reports,Incorrect report and old credit card less XXXX never disappears
"Money transfer, virtual currency, or money service",The seller XXXX XXXX based in XXXX kept postponing of shipping in stock orders because they were too busy handling other orders. After Paypal dispute time period was over the seller stopped responding. Paypal denied my dispute requests because their 180 days payment protection period is over.
Credit card,"Notified by Capital One Credit Fraud alert the new credit card application was submitted under my name. 
I or any relative have not made a new credit application. 
I notified XXXX credit XXXX, XXXX, and XXXX credit bureaus and placed a credit alert."
"Credit reporting, credit repair services, or other personal consumer reports",Bank of America did a credit inquiry on XX/XX/2021. I did not authorize this. I do not have an account or credit with them. I did not apply for a credit card with them. The inquiry impacted my XXXX credit score and dropped my points because of the inquiry.
Credit card or prepaid card,Someone used my info to get a card from Capitol One. Now its a collection on my report
Credit reporting or other personal consumer reports,"I need your assistance in reviewing accounts from companies that are incorrectly reporting late payments. After checking my credit report, I found that certain accounts have late payment marks that should not be there. These accounts should not show any late payment remarks."
Credit card,"I signed up for XXXX Costco card. Around XXXX XXXX, 2016 I received a bill from Citi informing me I was late on a payment. I never signed any customer agreement with Citi, and now they are charging me late fees for a renewal charge I never authorized."
"Money transfer, virtual currency, or money service",I sent Zelles to a company that did not provide the service and I was not able to get that money back
Checking or savings account,Said my bank made a change to my account in verification. I need a loan and to go through the auto verification and now it is postponed
"Credit reporting, credit repair services, or other personal consumer reports",THE BALANCE ON MY XXXX  XXXX AND XXXX XXXX  ACCOUNTS IS INCORRECT. I HAVE TRIED TO GET THE INFORMATION UPDATED.
Checking or savings account,"I've been with NFCU, union for at least the past XXXX. There were times I was charge overdraft fees, when I had money in my account, I also have oops. Please just take a look and make sure I wasnt illegal charged these fees"
"Money transfer, virtual currency, or money service",I sent a XXXX payment of {$850.00} to XXXX to rent a room she kicked me out for talking to much. Charles refused to give me my money or protective my money from someone doing rental scams
"Credit reporting, credit repair services, or other personal consumer reports","Credco, XXXX XXXX, and others checking my credit. Theses are hard hits. I did not authorize theses checks. I want them removed if its not a bank its fraud."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
"Money transfer, virtual currency, or money service",I mistakenly sent money through zelle to the wrong person and i was unable to get money back
Credit reporting or other personal consumer reports,"XX/XX/year> Accounts paid off and showing wrong balance. 
XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXXXXXX XX/XX/year> Accounts Paid down and showing wrong balance XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
Credit card,"I requested Citibank to remove fraudulent charges on account XXXX. 
They sent an email but it is not resolved. 
The credit agencies and reporting delinquent payments and it is affecting my credit."
Checking or savings account,"US Bank should refund me {$610.00}, CFPB should apply any of the Lousy Laws to punish USBank and it's Crooked officers, if Justice applies for Corporations in Corrupted America."
Checking or savings account,"I was charge over and over again fees but had the money in my accounts, the bank would hold my payments then charge me unnecessary charges."
Credit card,"On XX/XX/2023 TD credit card charged my checking three times the amount due total amount is {$8200.00}. I called TD credit card on XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX I was told each time that I had to wait XXXX to XXXX business days, today is the XXXX business day."
"Credit reporting, credit repair services, or other personal consumer reports","I received two credit card inquiries  from banks ( XXXX XXXX and JP Morgan Chase ) that I never applied for cards from, this past Saturday the XXXX of XX/XX/2021."
"Money transfer, virtual currency, or money service",I sent a money transfer and there was an error in the clients name and the funds were sent to the wrong person. I explained to my bank what happened and I was told Zelle doesn't give refunds
Prepaid card,Has not posted my direct deposit in the amount of {$1100.00} on my payday which is today. When I call no one can tell me when it will post or why it has not. Please help!
"Credit reporting, credit repair services, or other personal consumer reports",My XXXX Visa credit card # : XXXX is lost/stolen.
Credit card or prepaid card,"It is truly absurd to witness late payments reflected on my account, as I have consistently paid this account on time without any instances of being late."
Checking or savings account,I still was wrongfully charged from a XXXX XXXX XXXX and my account was overdraft and negative and I had to close it
Credit card,"This erroneous late payment on my account is causing me considerable distress, especially considering my history of punctual payments. I implore you to rectify this error promptly by removing it from my account, as it does not accurately reflect my payment habits."
Debt collection,Express Credit Card through their representative XXXX XXXX had charged me with {$6.00} for a service that I'd never used.
Credit card,XXXX  XXXX XXXX  : Not Mine XXXX XXXX : Not Mine XXXX XXXX : Paid them off and will not remove the account XXXX XXXX : NeverLate
Credit card,My interest rate has me paying over a XXXX dollars in interest since XXXX of this year it went from 6 percent APR to over 20 percent.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Checking or savings account,I called multiple times to fraud department capital one to no avail. I used a private number and theys said I never called. Which I did and they didn't want to help. Just close my account and keep my money.
"Money transfer, virtual currency, or money service","I am filing a complaint against cash app due to inadequate customer service and unfair practices, which violates the Consumer Financial Protection Act. Cashapp also failed to perform adequate way to prevent fraud and and address on their platform. These actions have caused financial loss and significant inconvenience."
"Credit reporting, credit repair services, or other personal consumer reports",I have an outstanding debt with XXXX XXXXXXXX XXXX XXXX that I have with a deposit related debt for {$480.00} that does not belong to me. This debt is the result of identity theft back when the account was originally opened on XX/XX/2019.
Credit reporting or other personal consumer reports,XXXX sent me a notice that CB Indigo has pulled my credit report without my knowledge. I do not want their credit card.
"Money transfer, virtual currency, or money service",I used the XXXX app several times and my money transferred to an incorrect account and never returned to me or the other parties.
Credit card or prepaid card,Received 2credit cards from US Bankreliacard with my name which I never applied for 1 from Colorado and 1 from Ohio i called co.and reported both cards and were de-activated
Debt collection,They have collected for over 10 years and never applied any amount to principal. They only applied to interest and fees. How is this possible?
"Credit reporting, credit repair services, or other personal consumer reports",The account I 'm requesting to be deleted from my credit file is from back in 2012 it was a timeshare loan the account was closed and reported that it was paid with a {$0.00} balance. Please delete!!!
Checking or savings account,"On Friday, XX/XX/ 2019 I transferred {$130.00} from my XXXX account to my Suntrust account. The money has subsequently been stolen by Suntrust ( they do not recognize the transfer despite XXXX saying the transaction was completed and my funds being missing )."
"Money transfer, virtual currency, or money service",I purchased bitcoin on XX/XX/XXXX with an intention to send it to another wallet. Paypal deducted the purchase from my checking account on XX/XX/XXXX but as of XX/XX/XXXX has yet to make the purchase available to send.
Credit card,I made the payment on time and I am getting changed for late frees
Credit card,"I never authorized or set up these accounts, and I believe they might be acts of fraud. Please conduct a comprehensive investigation into these accounts and take the necessary steps to remove them from my credit report. It's essential for maintaining the correctness of my financial records."
Credit card,Spoke with Chase Bank they have put a stop on the application submitted and is in process of sending forms to report the fraud. I have notified the Credit Bureau and am requesting a credit report
Credit card or prepaid card,I was told by XXXX XXXX that I was pre-approved for a credit card. I was then denied by that credit card company when I applied and my credit score went down. I would never have applied for the credit card had I known I was not actually pre-approved.
"Money transfer, virtual currency, or money service",I called to dispute a Zelle transaction. I checked the next day and my case was closed with no refund. I provided all necessary information and documentation for this claim and Zelle neglected to resolve the issue.
"Credit reporting, credit repair services, or other personal consumer reports",Hello I have continuously tried to express to the credit bureaus and XXXX XXXX that the account credit card account they have concerning me is not mine and is fraudulent. I am a victim of identity theft and did not open a credit card account with XXXX XXXX XXXX.
Credit card or prepaid card,"CapitalOne won't let me connect my personal finance service/benefit to my CapitalOne account to help me track my spending. 

As a consumer, I have every right to access that information using services I deem appropriate."
Checking or savings account,I was doing the XXXX app and was trying to pair my bank with them and it wo n't do it at all
Student loan,Navient has continuously charged usurious interest and has not applied payments toward principle. We have paid more than {$40000.00} interest on a {$46000.00} loan over a period of twelve years.
Credit card,My Credit card interest rate was increased to 29.99 % from 26.99 % with home depot. I can't afford the high interest
Checking or savings account,I am trying to link my account to XXXX through XXXX and it won't accept my information and stated to file a complaint
"Credit reporting, credit repair services, or other personal consumer reports","I reached out to AmSher Collection Services on XX/XX/2021 asking for VALIDATION of account XXXX XXXX. I was not sent any VALIDATION I was only sent a statement. This is not any VALIDATION the account belongs to me, I demand this account be removed from my credit profile immediately."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit card,My identity was used to open a credit card without my knowledge or concent.
"Credit reporting, credit repair services, or other personal consumer reports","After a 30 day late payment last XXXX, XXXX XXXX XXXX continually updates the loan balance incorrectly. I have disputed the incorrect balance with the mortgage company, and with all 3 credit bureaus."
Credit reporting or other personal consumer reports,"XXXX XXXX  # XXXX Date Opened : XX/XX/2022 Balance : {$2100.00} These above accounts were opened fraudulently I submitted a complaint with the FTC I'm attaching any documents to support my claim, and I'm asking these above items be DELETED from my credit file, Thanks, XXXX XXXX."
"Money transfer, virtual currency, or money service","On XX/XX/XXXX I transferred XXXX to XXXX via XXXX. It was supposed to be able to be withdrawn by XX/XX/XXXX. But now on the XXXX, you can no longer login to their website and they have declared bankruptcy."
Checking or savings account,I spent 2 says 6 weeks ago putting through complaint of fraud XXXX has nothing.
Checking or savings account,Paypal closed my account and they told me that I can not use it due to fraud but I am just using it to receive payments for my virtual assistant services and coaching services.
"Credit reporting, credit repair services, or other personal consumer reports",I have 3 credit card accounts with inaccurate information see the letter enclosed
Debt collection,It was a account thats was no longer in use because my brother had XXXX XXXX but they continue to charge
Student loan,I filed a dispute on XX/XX/2019 to remove student loans which reports missing information on account history and a incorrect balance on the account and they stated the account is accurate but it's not accurate.
Vehicle loan or lease,Vehicle was repossessed and sold I do not owe balance on vehicle.
Credit card or prepaid card,"My credit card was charged for a purchase I did not make. I have been trying for over a month to contact Chase bank to report this potential fraudulent activity, but have been unable to reach anyone to assist me."
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
"Money transfer, virtual currency, or money service",Keep getting charged for no reason and scammed. I tried calling Casb App services and they didnt answer. Just a fake number.
"Money transfer, virtual currency, or money service","I used to have chase account before I came back to XXXX XXXX. And I closed it and swifted money into my XXXX account at XXXX. But at XXXX, it was delayed, and now it cancelled."
Checking or savings account,I contacted the Chex system sent a letter told them it was fraud and someone has my identity they contacted me and said they are keeping it on there
"Credit reporting, credit repair services, or other personal consumer reports",This is a followup complaint to complaint # XXXX This item still remains on my credit reports and has incorrect information such as charge off and still open. The company seems to change the status monthly to keep it going instead of deleting the derogatory information as they agreed
Credit card,"The consistent timeliness of my payments for this account contrasts starkly with the distress I feel upon seeing an inaccurate late payment entry. Maintaining a record of punctuality has been my steadfast commitment, and this discrepancy weighs heavily on my mental well-being, disrupting my sleep and peace of mind."
"Money transfer, virtual currency, or money service",Ive been applying and applying over and over for a long time since the original day of Apple wallet Apple Pay originating I have been denied every single time and I just its gotten to me it hurts my feelings and I dont like it
Checking or savings account,Account has been closed for more than 60 days now and i still did not receive my funds and im still getting statements saying my acccount is open when it was closed in XXXX
Credit reporting or other personal consumer reports,My information was used to obtain credit card I have spoken with credit agency and asked them to remove off my credit report. Still have not done so
"Credit reporting, credit repair services, or other personal consumer reports","I filed for bankruptcy but I still have the account appearing on my credit report because Upstart changed something in their system about the account although it is the same debt. 
The account is closed and show bankruptcy not charge-off or be removed from my account."
Credit card or prepaid card,I filed 2 fraud claims for XXXX and XXXX total claim amount XXXX and bank of America is refusing to credit my account my temporary credit
Checking or savings account,"More than once, XXXX has failed to take out of my let me know that the XXXX was not processed then months later I would randomly take it out of my account."
Credit card or prepaid card,"XXXX XXXX CARD Phone Number ( XXXX ) XXXX Address XXXX XXXX XXXX XXXX  XXXX XXXX DE This was not me. I suspect a man named XXXX XXXX XXXX XXXX XXXX XXXX. 
Birthday XXXX"
Checking or savings account,I have filled serval complaints regarding this ongoing problem with wells Fargo as you can see from the previous. I still have not had a direct answer to what I have been asking for.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX XXXX accounts # XXXX and # XXXX are paid off and are still reporting a balance on my credit. These were charged off but have been paid and it should no longer be on my credit.
Checking or savings account,Account shows account balance and reports as fraudulent account. I never had a balance or was fraudulent. please fix.
Credit card or prepaid card,The fact that I always make timely payments on this account is causing me a great deal of XXXX I have never missed a payment and I am very diligent about it. I kindly request that you update my account immediately and rectify the inaccurate late payment entry.
Credit reporting or other personal consumer reports,I dont recognize the charge from this company and its on my credit report Ive never used these services.XXXX XXXXXXXX XXXX and SYNCB/AMAZON
Credit reporting or other personal consumer reports,"XXXX XXXX XXXX XXXX XXXX reported an incorrect balance. Has an account open that is closed and listed as collections. The account is paid in full. I have a close supporting documents, showing the original move out date from the acting landlord."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
Credit card,The fact that I always make timely payments on this account is causing me a great deal of XXXX. I have never missed a payment and I am very diligent about it. I kindly request that you update my account immediately and rectify the inaccurate late payment entry.
"Credit reporting, credit repair services, or other personal consumer reports",The account was paid in full and not settled for less than the amount owed. I was advised that the account would be removed from my credit report once the payment was posted. The account is still reporting as a charge off.
Credit reporting or other personal consumer reports,"Upon checking my credit report, I noticed some billing mistakes. The reported late payments are not consistent with my payment habits. Kindly correct these errors and update my account details."
Credit card or prepaid card,The fact that I always make timely payments on this account is causing me a great deal of XXXX. I have never missed a payment and I am very diligent about it.
Checking or savings account,This account was charge for value and return for value and discharged on XX/XX/year> so there should be no negative reporting as a XXXX written off as charge off on the bank XXXX XXXX
Credit reporting or other personal consumer reports,Recently I checked my credit reported and noticed multiple billing errors under 15 U.S. code 1666 ( b ) billing error- ( 4 ) The creditors failure to reflect properly on a statement a payment made by the obligor or a credit issued to the obligor.
Credit card or prepaid card,XX/XX/XXXX I applied for an extension of credit with the company Aspire and was denied.
Checking or savings account,I received checks in the mail from E trade financial.I do not have or never had any type of account with them.Hackers? What should I do?
Credit card,"I need your assistance in reviewing accounts from companies that are incorrectly reporting late payments. After checking my credit report, I found that certain accounts have late payment marks that should not be there. These accounts should not show any late payment remarks."
Student loan,"We received notification this was part of the student loan forgiveness, this was a parent plus loan. It is still showing on my credit report. It should be forgiven with a XXXX balance"
Debt collection,"XXXX/Bank of America XXXX XXXX XXXX XXXX, NY XXXX XXXX This creditor is no longer in service and unable to be reached. The number is out of service, the address belongs to an abandoned building. 

High Balance of {$9500.00} as of XX/XX/XXXX High Balance of {$2800.00} as of XX/XX/XXXX"
Checking or savings account,"i XXXX my wife, XXXX XXXX ; it did not get posted I contacted Wells Fargo for the return of my funds they said they could not post for 2 days this is my money ; I want back immediately"
Credit card or prepaid card,"Amex does not list APRs in the app. You have to logon to a browser to see the APR. with most people managing accounts with their mobile devices, it seems a weird thing to hide."
